release_year,rank_in_year,imdb_rating,mpaa_rating,film_title,film_budget,length_in_min,domestic_distributor,worldwide_gross,domestic_gross,genre_1,genre_2,genre_3,ROI,ROI_ratio,decade,decade_label,budget_category
2010,9,7.6,PG,Despicable Me,69000000.0,95,Universal Pictures,543113985.0,251513985.0,Animation,Comedy,Family,7.871217173913044,7.871217173913044,2010,2010s,Medio (50-100M)
2010,10,8.1,PG,How to Train Your Dragon,165000000.0,98,DreamWorks,494878759.0,217581231.0,Animation,Action,Adventure,2.999265206060606,2.999265206060606,2010,2010s,Alto (100-200M)
2009,1,7.8,PG-13,Avatar,237000000.0,162,Twentieth Century Fox,2744336793.0,749766139.0,Action,Adventure,Fantasy,11.579480139240506,11.579480139240506,2000,2000s,Muy Alto (>200M)
2009,2,7.6,PG,Harry Potter and the Half-Blood Prince,250000000.0,153,Warner Bros.,933959197.0,301959197.0,Action,Adventure,Family,3.735836788,3.735836788,2000,2000s,Muy Alto (>200M)
2009,3,6.9,PG,Ice Age: Dawn of the Dinosaurs,90000000.0,94,Twentieth Century Fox,886686817.0,196573705.0,Animation,Adventure,Comedy,9.852075744444445,9.852075744444445,2000,2000s,Medio (50-100M)
2009,4,6.0,PG-13,Transformers: Revenge of the Fallen,200000000.0,150,DreamWorks,836303693.0,402111870.0,Action,Adventure,Sci-Fi,4.181518465,4.181518465,2000,2000s,Alto (100-200M)
2009,5,5.8,PG-13,2012,200000000.0,158,Sony Pictures,769679473.0,166112167.0,Action,Adventure,Sci-Fi,3.848397365,3.848397365,2000,2000s,Alto (100-200M)
2009,6,8.2,PG,Up,175000000.0,96,Walt Disney ,735099082.0,293004164.0,Animation,Adventure,Comedy,4.200566182857143,4.200566182857143,2000,2000s,Alto (100-200M)
2009,7,4.7,PG-13,The Twilight Saga: New Moon,50000000.0,130,Summit Entertainment,709827462.0,296623634.0,Adventure,Drama,Fantasy,14.19654924,14.19654924,2000,2000s,Bajo (<50M)
2009,8,7.6,PG-13,Sherlock Holmes,90000000.0,128,Warner Bros.,524028679.0,209028679.0,Action,Adventure,Crime,5.822540877777778,5.822540877777778,2000,2000s,Medio (50-100M)
